2019-01-24 10:06:46.1684||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 10:06:50.7887||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 10:07:01.5856|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 11:38:07.3501||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 11:38:19.2265||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 11:38:34.8256|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 12:12:55.9134||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 12:13:01.1386||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 12:13:15.0257|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 12:33:55.5624||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 12:34:01.9022||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 12:34:15.4325|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 14:12:18.8304||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 14:12:28.3696||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 14:12:47.7830|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 16:51:45.0468||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 16:51:49.9560||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 16:52:03.0385|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 17:52:11.6865||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-01-24 17:52:12.1533||WARN|TemplateCoreWebTest.Services.GoogleRecaptcha.GoogleRecaptcha|Captcha validation failed: |url: http://localhost/api/send-feedback|action: SendFeedback
2019-01-24 17:52:57.5259||WARN|TemplateCoreWebTest.Services.GoogleRecaptcha.GoogleRecaptcha|Captcha validation failed: |url: http://localhost/api/send-feedback|action: SendFeedback
2019-01-24 17:53:04.2261||WARN|TemplateCoreWebTest.Services.GoogleRecaptcha.GoogleRecaptcha|Captcha validation failed: |url: http://localhost/api/send-feedback|action: SendFeedback
2019-01-24 18:19:45.1903||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 18:19:58.4341||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 18:20:16.1301|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 18:26:13.3302||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 18:26:18.9519||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 18:26:33.3611|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
2019-01-24 18:40:02.8173||INFO|AWSSDK|Found AWS credentials for the profile development |url: http://localhost/api/send-feedback|action: SendFeedback
2019-01-24 18:40:03.3699||WARN|TemplateCoreWebTest.Services.GoogleRecaptcha.GoogleRecaptcha|Captcha validation failed: |url: http://localhost/api/send-feedback|action: SendFeedback
2019-01-24 18:46:57.1539||DEBUG|TemplateCoreWebTest.Program|init main |url: |action: 
2019-01-24 18:47:06.9349||ERROR|Microsoft.AspNetCore.NodeServices|clean-webpack-plugin: C:\Users\Diana\Work\Projects\Weeding\TemplateCoreWeb\wwwroot\dist has been removed. |url: |action: 
2019-01-24 18:47:31.0051|3|WARN|Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware|Failed to determine the https port for redirect. |url: http://localhost/|action: 
